Name,Section/Column,Due Date,Description
Madball post on Tuesday,To Do,04/14/2026,Priority: High | Tags: content, urgent
Post + story about breathwork workshop in Sweden,To Do,,Priority: High | Tags: content, urgent
Instagram Story,To Do,,Priority: High | Tags: recurring, daily | Daily recurring task
Send Ben the HaKessef (money updates) ideas,To Do,,Priority: Medium | Tags: strategy
Change Lior website domain,To Do,,Priority: Medium | Tags: website
TED — Talk to Lior Zoref about how to get in,To Do,,Priority: Medium | Tags: speaking, networking
Start working with Tommy (designer),To Do,,Priority: Medium | Tags: design, vendor
Start paid promotion test with Amir,To Do,,Priority: Medium | Tags: paid, instagram
Switch Instagram provider — Aviv or 5WPR,To Do,,Priority: Medium | Tags: vendor, instagram
AI designer — get proposal for Lior AI videos,To Do,,Priority: Medium | Tags: ai, video, vendor
Find Upwork provider for IG + TikTok execution,To Do,,Priority: Medium | Tags: vendor, instagram, tiktok
Prepare 10 LinkedIn posts for Lior approval,To Do,,Priority: Medium | Tags: linkedin, content
Instagram collabs with other accounts,To Do,,Priority: Medium | Tags: instagram, partnerships
Pitch Lior to tech/startup podcasts (Israel NYC Toronto),To Do,,Priority: Medium | Tags: podcasts, outreach
AI project — NotebookLM social hooks generator,To Do,,Priority: Medium | Tags: ai, tools
Talk to X and LinkedIn provider Lior sent,To Do,,Priority: Medium | Tags: vendor, x, linkedin
Talk to Nick — LinkedIn profile network collab,To Do,,Priority: Medium | Tags: linkedin, partnerships
Connect Shield (LinkedIn analytics),To Do,,Priority: Medium | Tags: linkedin, tools
Smooth automation migration to Claude Enterprise,To Do,,Priority: Medium | Tags: operations, ai
Talk to provider Lior sent for X and LinkedIn,To Do,,Priority: Medium | Tags: vendor
Suggest Instagram bio change to Lior,Lior (waiting for approval),,Priority: Medium | Tags: instagram | Needs Lior approval
Prepare 10 LinkedIn posts for Lior approval,Lior (waiting for approval),,Priority: Medium | Tags: linkedin, content
Martel conference — option to speak,Backlog,,Priority: Low | Tags: speaking, events
Fuckup Night TLV (English) — option to speak,Backlog,,Priority: Low | Tags: speaking, events
Lior home setup — make a post about it,Backlog,,Priority: Low | Tags: content
Pitch: Kinso Podcast,Backlog,,Priority: Low | Tags: podcasts, outreach
Pitch: The Diary Of A CEO,Backlog,,Priority: Low | Tags: podcasts, outreach
Pitch: The Pocket (Chris Griffin),Backlog,,Priority: Low | Tags: podcasts, outreach
Pitch: Founder2Founder,Backlog,,Priority: Low | Tags: podcasts, outreach
