Name,Section,Priority,Due Date,Tags,Notes
Madball post on Tuesday,To Do,High,2026-04-14,content;urgent,
Post + story about breathwork workshop in Sweden,To Do,High,,content;urgent,
Instagram Story,To Do,High,,recurring;daily,Daily recurring task
Send Ben the HaKessef (money updates) ideas,To Do,Medium,,strategy,
Change Lior website domain,To Do,Medium,,website,
Suggest Instagram bio change to Lior,Lior,Medium,,instagram,Needs Lior approval
TED — Talk to Lior Zoref about how to get in,To Do,Medium,,speaking;networking,
Start working with Tommy (designer),To Do,Medium,,design;vendor,
Start paid promotion test with Amir,To Do,Medium,,paid;instagram,
Switch Instagram provider — Aviv or 5WPR,To Do,Medium,,vendor;instagram,
AI designer — get proposal for Lior AI videos,To Do,Medium,,ai;video;vendor,
Find Upwork provider for IG + TikTok execution,To Do,Medium,,vendor;instagram;tiktok,
Prepare 10 LinkedIn posts for Lior approval,To Do,Medium,,linkedin;content,
Instagram collabs with other accounts,To Do,Medium,,instagram;partnerships,
Pitch Lior to tech/startup podcasts (Israel NYC Toronto),To Do,Medium,,podcasts;outreach,
AI project — NotebookLM social hooks generator,To Do,Medium,,ai;tools,
Talk to X and LinkedIn provider Lior sent,To Do,Medium,,vendor;x;linkedin,
Talk to Nick — LinkedIn profile network collab,To Do,Medium,,linkedin;partnerships,
Connect Shield (LinkedIn analytics),To Do,Medium,,linkedin;tools,
Smooth automation migration to Claude Enterprise,To Do,Medium,,operations;ai,
Martel conference — option to speak,To Do,Low,,speaking;events,
Fuckup Night TLV (English) — option to speak,To Do,Low,,speaking;events,
Lior home setup — make a post about it,To Do,Low,,content,
Pitch: Kinso Podcast,To Do,Low,,podcasts;outreach,
Pitch: The Diary Of A CEO,To Do,Low,,podcasts;outreach,
Pitch: The Pocket (Chris Griffin),To Do,Low,,podcasts;outreach,
Pitch: Founder2Founder,To Do,Low,,podcasts;outreach,
Talk to provider Lior sent for X and LinkedIn,To Do,Medium,,vendor,
